name,evidence,condition,category,onetowatch,type,popularity,source,url,ignore,url of 2nd key study,key study source abstract (or summary notes),key study source abstract (or summary notes),key study source abstract (or summary notes),,,#,,,
sunlight,3,kidney cancer in men,"cancer, men",OTW,other,0.153,Cancer Journal,http://www3.interscience.wiley.com/journal/123313834/abstract?CRETRY=1&SRETRY=0,x,,"""METHODS: A hospital-based, case-control study of 1097 patients with RCC (cases) and 1476 controls was conducted in 4 Central and Eastern European countries. Demographic and occupational information was collected to examine the association between occupational UV exposure and RCC risk. RESULTS: A significant reduction (24%-38%) in the risk of RCC was observed with increasing occupational UV exposure among men who participated in the study. No association between UV exposure and RCC risk was observed among women who participated. When the analyses were stratified by latitude as another estimate of sunlight intensity, a stronger reduction (71%-73%) in the risk of RCC was observed between UV exposure and cancer risk among men who resided at the highest latitudes. CONCLUSIONS: The current results suggested that, among men, there is an inverse association between occupational UV exposure and the risk of RCC. Replication studies are warranted to confirm these results."" Karami et al (2010). 'Occupational sunlight exposure and risk of renal cell carcinoma.' Cancer 116/8, 2001-10.
",,,,,,,,
taurine,1.5,"weight loss, cholesterol","general health, cardio",,compound,0.526,,http://www.springerlink.com/content/4gnpvkgpg7ff7qc4/,,,"Among 30 overweight or obese college students, 3g of taurine per day for 7 weeks decreased blood triacylglycerol, atherogenic index (bad cholesterol) and body weight significantly. ""These results suggest that taurine produces a beneficial effect on lipid metabolism and may have an important role in cardiovascular disease prevention in overweight or obese subjects."" Zhang et al (2004). 'Beneficial effects of taurine on serum lipids in overweight or obese non-diabetic subjects.' Amino Acids 26/3,267-71.",,,,,#,,,
trypsin,0,,,,compound,0.216,,,,,n/a,,,,,#,,,
tryptophan and 5-HTP,1,depression in women,"mental health, women",,compound,0.964,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/16767422,,http://www.cochrane.org/reviews/en/ab003198.html,"""MATERIALS AND METHODS: Thirty eight healthy volunteers were randomised to receive 14 days double-blind intervention with TRP (1 g 3x a day) or placebo. [...] CONCLUSIONS: These findings provide evidence that TRP supplementation in women induces a positive bias in the processing of emotional material that is reminiscent of the actions of serotonergic antidepressants. This highlights a key role for serotonin in emotional processing and lends support to the use of TRP as a nutritional supplement in people with mild depression or for prevention in those at risk. Future studies are needed to clarify the effect of tryptophan on these measures in men."" Murphy et al (2006). PMID: 16767422.","""A large number of studies appear to address the research questions, but few are of sufficient quality to be reliable. Available evidence does suggest these substances are better than placebo at alleviating depression. Further studies are needed to evaluate the efficacy and safety of 5-HTP and tryptophan before their widespread use can be recommended. The possible association between these substances and the potentially fatal Eosinophilia-Myalgia Syndrome has not been elucidated. Because alternative antidepressants exist which have been proven to be effective and safe the clinical usefulness of 5-HTP and tryptophan is limited at present."" ",,,,,,,
turmeric (curcumin),1,cancer,cancer,OTW,plant / herb,1.61,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/20214562,,,"""In vitro and in vivo research [into curcumin] has shown various activities, such as anti-inflammatory, cytokines release, antioxidant, immunomodulatory, enhancing of the apoptotic process, and anti-angiogenic properties. Curcumin has also been shown to be a mediator of chemo-resistance and radio-resistance. The anti-cancer effect has been seen in a few clinical trials, mainly as a native chemoprevention agent in colon and pancreatic cancer, cervical neoplasia and Barrets metaplasia. Our clinical experience with curcumin, along with the anti-metabolite gemcitabine in the treatment of patients with advanced pancreatic carcinoma, produced an objective response in less than 10% of patients, with a minor effect on survival. However, the safety of this combination was proved. The preclinical data lead to various, but still scarce, clinical studies (some on-going) that demonstrated the possible efficacy of this treatment as a chemopreventive or chemotherapeutic agent."" Bar-Sela et al (2010). 'Curcumin as an anti-cancer agent: review of the gap between basic and clinical applications.' Curr. Med. Chem. 17/3, 190-97. PMID: 20214562.",,,,,,,,
turmeric (curcumin),1,peptic ulcer,digestion,OTW,plant / herb,0.377,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/20438867,,http://www.ncbi.nlm.nih.gov/pubmed/11485087,"""Helicobacter pylori infection of the lining of the stomach induces an array of inflammatory cytokine production leading to gastritis and peptic ulcer disease. We concluded that curcumin alone may have limited anti-bactericidal effect on H. pylori, and on the production of inflammatory cytokines. Nevertheless, other studies have reported that patients treated with curcumin had relieved symptoms. Further investigation should be carried out as the use of curcumin in combination with therapeutic regimens may be beneficial as an alternative treatment."" Koosirirat et al (2010). PMID: 20438867.",Oral dose of 2 capsules (300 mg) of turmeric 5 times daily given to 45 patients with peptic ulcer symptoms resulted into the absence of ulcers in 48% (12 cases) after 4 weeks and 76% (Nineteen cases) after 12 weeks of treatment. Prucksunand 2001,,,,#,,,
tyrosine,4,"alertness, wakefulness, memory",mental health,,compound,0.711,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/7794222,,,"""The behavioral effects of tyrosine were examined during an episode of continuous nighttime work involving one night's sleep loss. [...] Tyrosine administration was associated with a significant amelioration of the usual performance decline on a psychomotor task and a significant reduction in lapse probability on a high-event-rate vigilance task. The improvements lasted on the order of 3 h. The results of this study also suggest that tyrosine is a relatively benign treatment at this dose. After further testing with other doses and timing of administration, tyrosine may prove useful in counteracting performance decrements during episodes of sustained work coupled with sleep loss."" Neri et al (1995). ""The effects of tyrosine on cognitive performance during extended wakefulness"". Aviation, Space, and Environmental Medicine 66/4, 313–19. PMID 7794222.","Magill RA, Waters WF, Bray GA, Volaufova J, Smith SR, Lieberman HR, McNevin N, Ryan DH (2003). ""Effects of tyrosine, phentermine, caffeine D-amphetamine, and placebo on cognitive and motor performance deficits during sleep deprivation"". Nutritional Neuroscience 6 (4): 237–46. PMID 12887140","Hao S, Avraham Y, Bonne O, Berry EM (2001). ""Separation-induced body weight loss, impairment in alternation behavior, and autonomic tone: effects of tyrosine"". Pharmacol. Biochem. Behav. 68 (2): 273–81. doi:10.1016/S0091-3057(00)00448-2. PMID 11267632.","Deijen JB, Wientjes CJ, Vullinghs HF, Cloin PA, Langefeld JJ (1999). ""Tyrosine improves cognitive performance and reduces blood pressure in cadets after one week of a combat training course"". Brain Res. Bull. 48 (2): 203–9. doi:10.1016/S0361-9230(98)00163-4. PMID 10230711","Mahoney CR, Castellani J, Kramer FM, Young A, Lieberman HR (2007). ""Tyrosine supplementation mitigates working memory decrements during cold exposure"". Physiology and Behavior IN PRESS: 575. doi:10.1016/j.physbeh.2007.05.003. PMID 17585971.",#,,,
ubiquinol,1,heart disease,cardio,OTW,compound,0.1,,http://www.ncbi.nlm.nih.gov/pubmed/19096107,,,"""We identified seven patients with advanced CHF (mean EF 22%) with sub-therapeutic plasma CoQ10 levels on an average dose of 450 mg of ubiquinone daily (150-600 mg/day). All seven of these patients were changed to an average of 580 mg/day of ubiquinol (450-900 mg/day) with follow-up plasma CoQ10 levels, clinical status, and EF measurements by echocardiography. Mean plasma CoQ10 levels increased [,] mean EF improved from 22% up to 39% and clinical improvement has been remarkable with NYHA class improving from a mean of IV to a mean of II. Ubiquinol has dramatically improved absorption in patients with severe heart failure and the improvement in plasma CoQ10 levels is correlated with both clinical improvement and improvement in measurement of left ventricular function."" Langsjoen and Langsjoen (2008). PMID: 19096107.",,,,,#,,,
uva ursi ,0,,,,plant / herb,0.18,,,,,n/a,,,,,#,,,
valerian,3,insomnia,mental health,,plant / herb,0.735,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/17145239,,http://www.ncbi.nlm.nih.gov/pubmed/17517355,"""A systematic review of randomized, placebo-controlled trials of valerian for improving sleep quality is presented. An extensive literature search identified 16 eligible studies examining a total of 1093 patients. Most studies had significant methodologic problems, and the valerian doses, preparations, and length of treatment varied considerably. A dichotomous outcome of sleep quality (improved or not) was reported by 6 studies and showed a statistically significant benefit, but there was evidence of publication bias in this summary measure. The available evidence suggests that valerian might improve sleep quality without producing side effects. Future studies should assess a range of doses of standardized preparations of valerian and include standard measures of sleep quality and safety."" Bent et al (2006). 'Valerian for sleep: a systematic review and meta-analysis.' Am. J. Med. 119/12, 1005-12.","""A comprehensive search of studies investigating valerian was conducted. [...]. Most studies found no significant differences between valerian and placebo either in healthy individuals or in persons with general sleep disturbance or insomnia. None of the most recent studies, which were also the most methodologically rigorous, found significant effects of valerian on sleep. Overall, the evidence, while supporting that valerian is a safe herb associated with only rare adverse events, does not support the clinical efficacy of valerian as a sleep aid for insomnia."" Taibi et al (2007). 'A systematic review of valerian as a sleep aid: safe but not effective.' Sleep Med. Rev 11/3, 209-30.
","In a study of 405 participants, 18 to 75 years old, valerian had modest beneficial effects on insomnia compared to placebo. Oxman et al (2007). PMID: 17940604.  http://www.ncbi.nlm.nih.gov/pubmed/17940604",,,#,,,
valerian,1,anxiety,mental health,OTW,plant / herb,1.21,,http://www.ncbi.nlm.nih.gov/pubmed/17054208,,,"""Since only one small study is currently available, there is insufficient evidence to draw any conclusions about the efficacy or safety of valerian compared with placebo or diazepam for anxiety disorders. RCTs involving larger samples and comparing valerian with placebo or other interventions used to treat of anxiety disorders, such as antidepressants, are needed."" Miyasaka et al (2006). 'Valerian for anxiety disorders.
' Cochrane Database Syst. Rev. 18/4. PMID: 17054208.",,,,,,,,
vanadium,0,,,,mineral,0.321,,,,,n/a,,,,,#,,,
vitamin A: beta-carotene,0,cancer,cancer,,vitamin,1.64,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/18689373,,http://www.ncbi.nlm.nih.gov/pubmed/18429004,"""Six randomized clinical trials examining the efficacy of beta-carotene supplements and 25 prospective observational studies assessing the associations between carotenoids and lung cancer were analyzed by using random-effects meta-analysis. CONCLUSIONS: beta-Carotene supplementation is not associated with a decrease in the risk of developing lung cancer. Findings from prospective cohort studies suggest inverse associations between carotenoids and lung cancer; however, the decreases in risk are generally small and not statistically significant. These inverse associations may be the result of carotenoid measurements' function as a marker of a healthier lifestyle (higher fruit and vegetable consumption) or of residual confounding by smoking"". Gallicchio et al (2008). 'Carotenoids and the risk of developing lung cancer: a systematic review.' Am. J. Clin. Nutr. 88/2, 372-83. PMID: 18689373.","""RESULTS: Four studies contributing 109,394 subjects were available for analysis. CONCLUSIONS: High-dose beta-carotene supplementation appears to increase the risk of lung cancer among current smokers. Although beta-carotene was prevalent in multivitamins, high-dose beta-carotene was observed among multivitamin formulas sold to promote visual health."" Tanvetyanon and Bepler (2008). 'Beta-carotene in multivitamins and the possible risk of lung cancer among smokers versus former smokers: a meta-analysis and evaluation of national brands.' Cancer 113/1, 150-57. PMID: 18429004.",,,,,,,
vitamin A: retinol,0,birth defects,children,,vitamin,3.22,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/9431575,,http://www.ncbi.nlm.nih.gov/pubmed/16243460,"""It is well known that vitamin A is essential for normal reproduction and development. Although doses of 10,000 IU/d or less of preformed vitamin A (retinyl esters and retinol) are considered safe, doses > 10,000 IU/d as supplements have been reported to cause malformations in a single epidemiologic study. Because no study reports adverse effects of 10,000 IU/d preformed vitamin A supplements and this dose is more than the Recommended Dietary Allowance for pregnant women (2670 IU or 800 RE/d), we recommend that women living in industrialized countries or who otherwise have nutritionally adequate diets may not need to ingest more than the Recommended Dietary Allowance of preformed vitamin A as supplements."" Miller et al (1998). PMID: 9431575.","""BACKGROUND: vitamin A is widely used in cosmetic preparations. Given that oral vitamin A and its metabolites present a potential reproductive risk, the present study investigated the effect of topical vitamin A on human endogenous plasma levels of vitamin A and its metabolites. METHODS: Two groups of 14 female volunteers of child-bearing age were kept on a vitamin A-poor diet and treated topically for 21 days with creams containing 0.30% retinol or 0.55% retinyl palmitate on approximately 3000 cm2 of their body surface area, amounting to a total of approximately 30,000 IU vitamin A/subject/day. In conclusion, our results provide evidence that human topical exposure to retinol- or retinyl ester-containing cosmetic creams at 30,000 IU/day and maximal use concentrations do not affect plasma levels of retinol, retinyl esters or RAs, whereas single oral doses at 10,000 IU or 30,000 IU produce significant increases in plasma retinyl esters and RAs.""",,,,,,,
vitamin B1,0,,,,vitamin,0.383,,,,,n/a,,,,,#,,,
vitamin B2,1,migraine  ,pain,,vitamin,0.457,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/15257686,,,"""Patients received 400 mg riboflavin capsules per day. [...] Headache frequency was significantly reduced from 4 days/month at baseline to 2 days/month after 3 and 6 months. The use of abortive drugs decreased from 7 units/month to 4.5 units/month after 3 and 6 months of treatment. In contrast, headache hours and headache intensity did not change significantly. We could demonstrate a significant reduction of headache frequency following riboflavin treatment. In addition, the number of abortive anti-migraine tablets was reduced. In line with previous studies our findings show that riboflavin is a safe and well-tolerated alternative in migraine prophylaxis."" Boehnke et al (2004). 'High-dose riboflavin treatment is efficacious in migraine prophylaxis: an open study in a tertiary care centre' 11/7,475-77. NB not double-blinded.",,,,,#,,,
vitamin B5,0,"cholesterol, arthritis","cardio, musculoskeletal",,vitamin,0.187,,,,,no human studies,,,,,#,,,
vitamin B8,3,"OCD, panic disorder, depression",mental health,OTW,vitamin,0.1,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/8780431,,,"In a study of 13 patients, the authors concluded that ""inositol [vitamin B8] is effective in depression, panic, and obsessive-compulsive disorder, a spectrum of disorders responsive to selective serotonin reuptake inhibitors."" Fux et al (1996). 'Inositol treatment of obsessive-compulsive disorder.' American Journal of Psychiatry 153/9, 1219–21. PMID 8780431.","In a study of 20 patients with panic disorder comparing inositol with fluvoxamine, ""in the first month, inositol reduced the number of panic attacks per week by 4.0 compared with a reduction of 2.4 with fluvoxamine. [...] Continuing reports of inositol's efficacy in the treatment of depression, panic disorder, and OCD should stimulate replication studies."" Palatnik et al (2001). ""Double-blind, controlled, crossover trial of inositol versus fluvoxamine for the treatment of panic disorder"". Journal of Clinical Psychopharmacology 21/3, 335–39. PMID 11386498.","In a study of 21 patients, the authors concluded that ""inositol's efficacy, the absence of significant side effects, and the fact that inositol is a natural component of the human diet make it a potentially attractive therapeutic for panic disorder."" Benjamin et al (2005). http://www.ncbi.nlm.nih.gov/pubmed/7793450",,,#,,,
vitamin C,2,colds,infections,,vitamin,15.2,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/17636648,,,"""The failure of vitamin C supplementation to reduce the incidence of colds in the normal population indicates that routine mega-dose prophylaxis is not rationally justified for community use. But evidence suggests that it could be justified in people exposed to brief periods of severe physical exercise or cold environments."" Douglas et al (2007). 'Vitamin C for preventing and treating the common cold.' Cochrane Database Syst. Rev. CD000980. PMID: 17636648.
",,,,,#,,,
vitamin D,1,cancer,cancer,OTW,vitamin,1,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/20164683,,http://www.ncbi.nlm.nih.gov/pubmed/17556697.,"""Unfortunately, very limited data are available to indicate whether or not giving vitamin D supplements reduces the risk of cancer. In view of the substantial preclinical and epidemiologic data supporting the potential role of vitamin D in cancer, careful studies to evaluate the impact of vitamin D replacement on the frequency of cancer and the impact of an appropriate dose and schedule of calcitriol or other active vitamin D analogue on the treatment of established cancer are indicated."" Trump et al (2010). 'Vitamin D: considerations in the continued development as an agent for cancer prevention and therapy.' Cancer 16/1, 1-9. PMID: 20164683.","""Objective: The purpose of this analysis was to determine the efficacy of calcium alone and calcium plus vitamin D in reducing incident cancer risk of all types. Design: This was a 4-y, population-based, double-blind, randomized placebo-controlled trial. The subjects were 1179 community-dwelling women randomly selected from the population of healthy postmenopausal women aged >55 y in a 9-county rural area of Nebraska centered at latitude 41.4°N. Conclusions: Improving calcium and vitamin D nutritional status substantially reduces all-cancer risk in postmenopausal women."" Lappe et al (2007). 'Vitamin D and calcium supplementation reduces cancer risk: results of a randomized trial', Am. J. Clin. Nutr. 85/6, 1586–91. PMID 17556697. ",,,,,,,
vitamin D,0,heart disease,cardio,,vitamin,1,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/20816120,,http://www.ncbi.nlm.nih.gov/pubmed/21147944,"""Observational studies strongly associate vitamin D deficiency with a variety of cardiovascular diseases beyond defects in bone and calcium metabolism. vitamin D has multiple mechanisms that potentially may affect cardiovascular health. [...] To date however, studies evaluating vitamin D supplementation are few and have not consistently shown benefit. It is possible that the lack of benefit in these studies may have arisen from suboptimal levels of vitamin D supplementation or other unknown factors. Nevertheless, the growing body of observational data and consistent findings of relatively high rates of low vitamin D serum levels warrant further well-designed studies to investigate the relation between vitamin D and cardiovascular health."" Reddy Vanga et al (2010). PMID: 20816120.","""Although vitamin D supplementation appears to be a promising intervention for reducing risks of cancer, cardiovascular disease, and other chronic diseases, existing evidence on its benefits and risks is limited and inconclusive. Recruitment is now under way for the vitamin D and Omega-3 Trial (VITAL), the first large-scale randomized clinical trial of these nutritional agents for the primary prevention of cancer and cardiovascular disease.""","""Observational data suggest that low vitamin D levels are common in patients with heart failure and are associated with worse exercise capacity and natriuretic peptide levels. Little interventional data are currently available, but evidence to date does not support vitamin D supplementation, even in patients with low vitamin D levels. Further studies are needed to establish whether larger doses of vitamin D given over a longer period of time can reduce symptoms, hospitalization, and mortality in heart failure."" http://www.ncbi.nlm.nih.gov/pubmed/21328082","""Although a growing body of evidence suggests that nutritional vitamin D supplementation and potentially even treatment with synthetic analogues of vitamin D may be cardioprotective, relatively few studies have examined either of these compounds in a randomized, controlled fashion. Studies examining the benefit of vitamin D supplementation are now beginning, but future studies considering calcitriol and analogue therapy also seem warranted."" http://www.ncbi.nlm.nih.gov/pubmed/21298577",,,,,
vitamin D,0,diabetes,diabetes,,vitamin,1,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/20194237,,http://www.ncbi.nlm.nih.gov/pubmed/20150805,"""DATA SYNTHESIS: 13 observational studies (14 cohorts) and 18 trials were eligible. Three of 6 analyses (from 4 different cohorts) reported a lower incident diabetes risk in the highest versus the lowest vitamin D status groups. Eight trials found no effect of vitamin D supplementation on glycemia or incident diabetes. Four trials found no effect of supplementation on cardiovascular outcomes. CONCLUSION: The association between vitamin D status and cardiometabolic outcomes is uncertain. Trials showed no clinically significant effect of vitamin D supplementation at the dosages given."" Pittas et al (2010). PMID: 20194237.","""SUMMARY: The high prevalence of vitamin D deficiency and plausible molecular mechanisms linking this to diabetes and cardiovascular risk suggest treatment of vitamin D deficiency to prevent and/or treat diabetes is a promising field to explore."" Baz-Hecht and Goldfine (2010). PMID: 20150805.","""We performed a systematic review of the current literature on vitamin D and cardiometabolic disorders using the PubMed and Web of Knowledge databases in September 2009. We identified 28 studies that met our inclusion criteria, including 99,745 participants. We found that the highest levels of serum 25OHD were associated with a 43% reduction in cardiometabolic disorders. High levels of vitamin D among middle-age and elderly populations are associated with a substantial decrease in cardiovascular disease, type 2 diabetes and metabolic syndrome. If the relationship proves to be causal, interventions targeting vitamin D deficiency in adult populations could potentially slow the current epidemics of cardiometabolic disorders."" http://www.ncbi.nlm.nih.gov/pubmed/20031348","""Evidence from trials with vitamin D and/or calcium supplementation suggests that combined vitamin D and calcium supplementation may have a role in the prevention of type 2 DM only in populations at high risk (i.e. glucose intolerance). The available evidence is limited because most observational studies are cross-sectional and did not adjust for important confounders, whereas intervention studies were short in duration, included few subjects, used a variety of formulations of vitamin D and calcium, or did post hoc analyses. CONCLUSIONS: vitamin D and calcium insufficiency may negatively influence glycemia, whereas combined supplementation with both nutrients may be beneficial in optimizing glucose metabolism."" http://www.ncbi.nlm.nih.gov/pubmed/17389701",,,,,
vitamin D,5,"general health, all-cause mortality",general health,,vitamin,11.4,PubMed,http://ebm.bmj.com/content/13/2/47.full,,http://www.ncbi.nlm.nih.gov/pubmed/21415774,"""Question: what is the effect of vitamin D supplementation on all-cause mortality? 17 RCTs and 1 quasi-RCT (n = 57 311, age range 33–106 y) met the inclusion criteria. Mean daily dose of vitamin D (adjusted for trial size) was 528 IU. Mean follow-up (adjusted for study size) was 5.7 years. Quality assessment of individual trials was not reported. MAIN RESULTS: Meta–analysis of all trials showed that use of vitamin D supplements decreased the risk for all-cause mortality. Meta-analysis of the 9 trials with sufficient power showed similar results. CONCLUSION: vitamin D supplementation reduces all-cause mortality in adults and older individuals."" Autier (2008). 'Review: vitamin D supplementation decreases all-cause mortality in adults and older people', Evid. Based Med.,13/47.","""Vitamin D deficiency during the first few years of life results in a flattened pelvis, making it difficult for childbirth. vitamin D deficiency causes osteopenia and osteoporosis, increasing risk of fracture. Essentially, every tissue and cell in the body has a vitamin D receptor. Therefore, vitamin D deficiency has been linked to increased risk for preeclampsia, requiring a cesarean section for birthing, multiple sclerosis, rheumatoid arthritis, types I and II diabetes, heart disease, dementia, deadly cancers, and infectious diseases. Therefore, sensible sun exposure along with vitamin D supplementation of at least 2000 IU/d for adults and 1000 IU/d for children is essential to maximize their health.""","""Epidemiologic evidence and prospective studies have linked vitamin D deficiency with increased risk of many chronic diseases including autoimmune diseases, cardiovascular disease, deadly cancers, type II diabetes and infectious diseases. It is estimated that children need at least 400-1000 IU of vitamin D a day while teenagers and adults need at least 2000 IU of vitamin D a day to satisfy their body's vitamin D requirement. It is estimated that 1 billion people worldwide are vitamin D deficient or insufficient. Correcting and preventing this deficiency could have an enormous impact on reducing health costs worldwide."" http://www.ncbi.nlm.nih.gov/pubmed/20795941",,,,,,
vitamin D,1,"depression, mood disorders",mental health,,vitamin,1,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/16554952,,http://www.ncbi.nlm.nih.gov/pubmed/19187703,"2,117 women aged 70+, some with Seasonal Affective Disorder were randomised to receive calcium and vitamin D supplementation or no supplementation. ""CONCLUSIONS: Supplementing elderly women with 800 IU of vitamin D daily did not lead to an improvement in mental health scores."" Dumville et al (2006). 'Can vitamin D supplementation prevent winter-time blues? A randomised trial among older women.' J. Nutr. Health. Aging 10/2, 151-53. PMID: 16554952.","""Vitamin D, a multipurpose steroid hormone vital to health, has been increasingly implicated in the pathology of cognition and mental illness. Hypovitaminosis D is prevalent among older adults, and several studies suggest an association between hypovitaminosis D and basic and executive cognitive functions, depression, bipolar disorder, and schizophrenia. Although additional studies are needed to examine the impact of supplementation on cognition and mood disorders, given the known health benefits of vitamin D, we recommend greater supplementation in older adults.""","""Some cross-sectional clinical and epidemiologic studies, but not all studies, have found that low levels of vitamin D are significantly associated with higher levels of depressive symptoms or with a depression diagnosis. However, cross-sectional studies cannot establish causality, and the methodology of these studies has been criticized. Current evidence does not definitively demonstrate that vitamin D deficiency is a cause of or risk for developing depression or that vitamin D is an effective therapy for depression."" http://www.ncbi.nlm.nih.gov/pubmed/21261225","""Much is still unknown concerning how vitamin D relates to mood. The few epidemiological studies of vitamin D and depression have produced inconsistent results and generally have had substantial methodological limitations. Recent findings from a randomized trial suggest that high doses of supplemental vitamin D may improve mild depressive symptoms, but at this time, it is premature to conclude that vitamin D status is related to the occurrence of depression. Additional prospective studies of this relationship are essential."" http://www.ncbi.nlm.nih.gov/pubmed/19674344","""OBJECTIVES: The objective of the present study was to examine the cross-sectional relation between serum 25-hydroxyvitamin D [25-(OH) D] levels and depression in overweight and obese subjects and to assess the effect of vitamin D supplementation on depressive symptoms. DESIGN: Cross-sectional study and randomized double blind controlled trial of 20,000 or 40,000 IU vitamin D per week versus placebo for 1 year. SETTING: A total of 441 subjects (body mass index 28-47 kg m(-2), 159 men and 282 women, aged 21-70 years). CONCLUSIONS: It appears to be a relation between serum levels of 25(OH)D and symptoms of depression. Supplementation with high doses of vitamin D seems to ameliorate these symptoms indicating a possible causal relationship."" http://www.ncbi.nlm.nih.gov/pubmed/18793245",,,,
vitamin D,4,bone health,musculoskeletal,,vitamin,2.67,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/18689393,,http://www.ncbi.nlm.nih.gov/pubmed/18088161,"Review of 167 studies of vitamin D and bone health. ""We found inconsistent evidence of an association between serum 25-hydroxyvitamin D [25(OH)D] concentration and bone mineral content in infants and fair evidence of an association with bone mineral content or density in older children and older adults. The evidence of an association between serum 25(OH)D concentration and some clinical outcomes (fractures, performance measures) in postmenopausal women and older men was inconsistent, and the evidence of an association with falls was fair. We found good evidence of a positive effect of consuming vitamin D-fortified foods on 25(OH)D concentrations. The evidence for a benefit of vitamin D on falls and fractures varied. We found fair evidence that adults tolerated vitamin D at doses above current dietary reference intake levels, but we had no data on the association between long-term harms and higher doses of vitamin D."" Cranney et al (2008). 'Summary of evidence-based review on vitamin D efficacy and safety in relation to bone health.' Am. J. Clin. Nutr. 88/2, 513S-19S. PMID: 18689393.","""The results highlight the need for additional high quality studies in infants, children, premenopausal women, and diverse racial or ethnic groups. There was fair evidence from studies of an association between circulating 25(OH)D concentrations with some bone health outcomes (established rickets, PTH, falls, BMD). However, the evidence for an association was inconsistent for other outcomes (e.g., BMC in infants and fractures in adults). It was difficult to define specific thresholds of circulating 25(OH)D for optimal bone health due to the imprecision of different 25(OH)D assays. Standard reference preparations are needed so that serum 25(OH)D can be accurately and reliably measured, and validated. In most trials, the effects of vitamin D and calcium could not be separated. Vitamin D(3) (>700 IU/day) with calcium supplementation compared to placebo has a small beneficial effect on BMD, and reduces the risk of fractures and falls although benefit may be confined to specific subgroups. Vitamin D intake above current dietary reference intakes was not reported to be associated with an increased risk of adverse events. However, most trials of higher doses of vitamin D were not adequately designed to assess long-term harms."" ","""Based on double-blind randomized control trials (RCTs), eight for falls (n = 2426) and 12 for non-vertebral fractures (n = 42,279), there was a significant dose-response relationship between higher-dose and higher achieved 25(OH)D and greater fall and fracture prevention. Optimal benefits were observed at the highest dose tested to date for 700 to 1000 IU vitamin D per day or mean 25(OH)D between 75 and 110 nmol/l (30-44 ng/ml). CONCLUSION: Our analysis suggests that mean serum 25(OH)D levels of about 75 to 110 nmol/l provide optimal benefits for all investigated endpoints without increasing health risks. These levels can be best obtained with oral doses in the range of 1,800 to 4,000 IU vitamin D per day; further work is needed, including subject and environment factors, to better define the doses that will achieve optimal blood levels in the large majority of the population."" http://www.ncbi.nlm.nih.gov/pubmed/19957164",,,,,,
vitamin E,0,mortality,general health,,vitamin,1.57,American Medical Association,http://med.over.net/javne_datoteke/novice/datoteke/13081-JAMA-antioxidants.pdf,,,"""We did not find convincing evidence that antioxidant supplements have beneficial effects on mortality. Even more, beta carotene, vitamin A, and vitamin E seem to increase the risk of death. Further randomized trials are needed to establish the effects of vitamin C and selenium."" Bjelakovic et al (2007). 'Mortality in Randomized Trials of Antioxidant Supplements for Primary and Secondary Prevention: Systematic Review and Meta-analysis'. JAMA 297/8, 842-57.",,,,,,,,
Vitamin K2,1,prostate cancer,"cancer, men",OTW,vitamin,0.102,American Journal of Clinical Nutrition,http://www.ajcn.org/cgi/content/abstract/87/4/985,,,"Design: Multivariate-adjusted relative risks of total and advanced prostate cancer in relation to intakes of phylloquinone and menaquinones [Vitamin K2] were calculated in 11,319 men by means of Cox proportional hazards regression. Results: We observed a nonsignificant inverse association between total prostate cancer and total menaquinone intake. The association was stronger for advanced prostate cancer. Menaquinones from dairy products had a stronger inverse association with advanced prostate cancer than did menaquinones from meat. Conclusions: Our results suggest an inverse association between the intake of menaquinones, but not that of phylloquinone, and prostate cancer. Further studies of dietary vitamin K and prostate cancer are warranted."" Nimptsch et al (2008). 'Dietary intake of vitamin K and risk of prostate cancer in the Heidelberg cohort of the European Prospective Investigation into Cancer and Nutrition.' Am. J. Clin. Nutr. 87/4, 985-92.
",,,,,,,,
